City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Rio,2016,Aquatics,Swimming,"PHELPS, Michael",USA,Unknown,100m butterfly,X,Silver
Rio,2016,Aquatics,Swimming,"PHELPS, Michael",USA,Unknown,4x100m medley relay,X,Gold
Rio,2016,Aquatics,Swimming,"PHELPS, Michael",USA,Unknown,200m individual medley,X,Gold
Rio,2016,Aquatics,Swimming,"PHELPS, Michael",USA,Unknown,4x200m freestyle relay,X,Gold
Rio,2016,Aquatics,Swimming,"PHELPS, Michael",USA,Unknown,200m butterfly,X,Gold
Rio,2016,Aquatics,Swimming,"PHELPS, Michael",USA,Unknown,4x100m freestyle relay,X,Gold
Rio,2016,Aquatics,Swimming,"LEDECKY, Katie",USA,Unknown,4x100m freestyle relay,X,Silver
Rio,2016,Aquatics,Swimming,"LEDECKY, Katie",USA,Unknown,800m freestyle,X,Gold
Rio,2016,Aquatics,Swimming,"LEDECKY, Katie",USA,Unknown,4x200m freestyle relay,X,Gold
Rio,2016,Aquatics,Swimming,"LEDECKY, Katie",USA,Unknown,200m freestyle,X,Gold
Rio,2016,Aquatics,Swimming,"LEDECKY, Katie",USA,Unknown,400m freestyle,X,Gold
Rio,2016,Gymnastics,Artistic G.,"BILES, Simone",USA,Unknown,balance beam,X,Bronze
Rio,2016,Gymnastics,Artistic G.,"BILES, Simone",USA,Unknown,floor exercises,X,Gold
Rio,2016,Gymnastics,Artistic G.,"BILES, Simone",USA,Unknown,vault,X,Gold
Rio,2016,Gymnastics,Artistic G.,"BILES, Simone",USA,Unknown,individual all-round,X,Gold
Rio,2016,Gymnastics,Artistic G.,"BILES, Simone",USA,Unknown,"team, horizontal bar",X,Gold
Rio,2016,Aquatics,Swimming,"HOSSZU, Katinka",HUN,Unknown,200m backstroke,X,Silver
Rio,2016,Aquatics,Swimming,"HOSSZU, Katinka",HUN,Unknown,200m individual medley,X,Gold
Rio,2016,Aquatics,Swimming,"HOSSZU, Katinka",HUN,Unknown,100m backstroke,X,Gold
Rio,2016,Aquatics,Swimming,"HOSSZU, Katinka",HUN,Unknown,400m individual medley,X,Gold
Rio,2016,Athletics,Athletics,"BOLT, Usain",JAM,Unknown,4x100m relay,X,Gold
Rio,2016,Athletics,Athletics,"BOLT, Usain",JAM,Unknown,200m,X,Gold
Rio,2016,Athletics,Athletics,"BOLT, Usain",JAM,Unknown,100m,X,Gold
Rio,2016,Cycling,Cycling Track,"KENNY, Jason",GBR,Unknown,Keirin,X,Gold
Rio,2016,Cycling,Cycling Track,"KENNY, Jason",GBR,Unknown,Sprint indivual,X,Gold
Rio,2016,Cycling,Cycling Track,"KENNY, Jason",GBR,Unknown,Team Sprint,X,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak F,"KOZAK, Danuta",HUN,Unknown,K-4 500m (kayak four),X,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak F,"KOZAK, Danuta",HUN,Unknown,K-1 500m (kayak single),X,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak F,"KOZAK, Danuta",HUN,Unknown,K-2 500m (kayak double),X,Gold
Rio,2016,Aquatics,Swimming,"MURPHY, Ryan",USA,Unknown,4x100m medley relay,X,Gold
Rio,2016,Aquatics,Swimming,"MURPHY, Ryan",USA,Unknown,200m backstroke,X,Gold
Rio,2016,Aquatics,Swimming,"MURPHY, Ryan",USA,Unknown,100m backstroke,X,Gold
Rio,2016,Aquatics,Swimming,"MANUEL, Simone",USA,Unknown,50m freestyle,X,Silver
Rio,2016,Aquatics,Swimming,"MANUEL, Simone",USA,Unknown,4x100m freestyle relay,X,Silver
Rio,2016,Aquatics,Swimming,"MANUEL, Simone",USA,Unknown,4x100m medley relay,X,Gold
Rio,2016,Aquatics,Swimming,"MANUEL, Simone",USA,Unknown,100m freestyle,X,Gold
Rio,2016,Aquatics,Swimming,"DIRADO, Madeline",USA,Unknown,200m individual medley,X,Bronze
Rio,2016,Aquatics,Swimming,"DIRADO, Madeline",USA,Unknown,400m individual medley,X,Silver
Rio,2016,Aquatics,Swimming,"DIRADO, Madeline",USA,Unknown,200m backstroke,X,Gold
Rio,2016,Aquatics,Swimming,"DIRADO, Madeline",USA,Unknown,4x200m freestyle relay,X,Gold
Rio,2016,Athletics,Athletics,"FELIX, Allyson",USA,Unknown,400m,X,Silver
Rio,2016,Athletics,Athletics,"FELIX, Allyson",USA,Unknown,4x400m relay,X,Gold
Rio,2016,Athletics,Athletics,"FELIX, Allyson",USA,Unknown,4x100m relay,X,Gold
Rio,2016,Athletics,Athletics,"THOMPSON, Elaine",JAM,Unknown,4x100m relay,X,Silver
Rio,2016,Athletics,Athletics,"THOMPSON, Elaine",JAM,Unknown,200m,X,Gold
Rio,2016,Athletics,Athletics,"THOMPSON, Elaine",JAM,Unknown,100m,X,Gold
Rio,2016,Aquatics,Swimming,"ADRIAN, Nathan",USA,Unknown,50m freestyle,X,Bronze
Rio,2016,Aquatics,Swimming,"ADRIAN, Nathan",USA,Unknown,100m freestyle,X,Bronze
Rio,2016,Aquatics,Swimming,"ADRIAN, Nathan",USA,Unknown,4x100m medley relay,X,Gold
Rio,2016,Aquatics,Swimming,"ADRIAN, Nathan",USA,Unknown,4x100m freestyle relay,X,Gold
Rio,2016,Gymnastics,Artistic G.,"WHITLOCK, Max",GBR,Unknown,individual all-round,X,Bronze
Rio,2016,Gymnastics,Artistic G.,"WHITLOCK, Max",GBR,Unknown,pommel horse,X,Gold
Rio,2016,Gymnastics,Artistic G.,"WHITLOCK, Max",GBR,Unknown,floor exercises,X,Gold
